Country,id,Global_Score,Global_Rank,Percentage_missing_values,Regional_Score,Population_in_2019,GDP_per_capita_in_2017,Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10,Goal_11,Goal_12,Goal_13,Goal_14,Goal_15,Goal_16,Goal_17,Regional_Score_Goal_1,Regional_Score_Goal_2,Regional_Score_Goal_3,Regional_Score_Goal_4,Regional_Score_Goal_5,Regional_Score_Goal_6,Regional_Score_Goal_7,Regional_Score_Goal_8,Regional_Score_Goal_9,Regional_Score_Goal_10,Regional_Score_Goal_11,Regional_Score_Goal_12,Regional_Score_Goal_13,Regional_Score_Goal_14,Regional_Score_Goal_15,Regional_Score_Goal_16,Regional_Score_Goal_17
Hungary,HUN,76.9,25.0,0.0,77.7,9655361,26777.56079,98.93,64.19,85.93,90.39,64.05,89.01,91.61,82.11,49.65,75.60,86.07,71.01,94.91,,87.31,73.39,51.49,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Indonesia,IDN,64.2,102.0,0.0,65.7,269536482,11188.74402,74.01,53.66,62.93,90.05,61.16,68.73,73.36,75.96,33.78,34.76,67.40,90.95,94.79,50.37,41.90,70.58,46.88,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
India,IND,61.1,115.0,1.2,65.7,1368737513,6430.107398,71.41,42.57,58.76,80.24,33.19,56.58,65.38,83.24,28.67,48.96,51.12,94.46,94.47,51.24,51.06,61.26,65.70,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Ireland,IRL,78.2,19.0,1.2,77.7,4847139,67335.29341,99.69,70.15,95.24,95.17,73.07,81.97,92.50,87.74,67.19,84.77,84.53,46.28,91.72,53.43,82.43,90.37,33.42,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
"Iran, Islamic Rep.",IRN,70.5,58.0,2.4,65.9,82820766,18982.94125,96.80,58.22,77.35,95.55,42.60,49.92,87.69,68.26,39.85,64.74,76.11,80.65,88.96,73.19,68.05,64.71,65.64,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Iraq,IRQ,60.8,117.0,8.3,65.9,40412299,15392.93238,84.06,41.74,62.65,44.35,38.18,46.34,87.82,61.52,20.87,94.37,59.71,90.59,89.96,28.52,39.40,65.16,78.24,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Iceland,ISL,79.2,14.0,9.5,77.7,340566,46482.95829,99.70,62.58,96.88,97.43,85.49,87.36,99.37,83.04,75.50,99.21,89.90,50.59,88.55,35.89,34.49,93.05,67.40,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Israel,ISR,71.5,49.0,3.6,77.7,8583916,33132.3203,99.21,58.64,95.83,96.78,75.24,74.32,93.98,85.02,77.49,50.18,80.14,41.50,91.16,17.38,50.64,73.59,54.90,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Italy,ITA,75.8,30.0,0.0,77.7,59216525,35220.08379,97.31,64.31,95.08,97.61,71.20,84.77,93.09,78.71,63.77,69.86,73.96,51.74,84.68,41.11,82.91,75.21,63.11,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Jamaica,JAM,68.8,74.0,4.8,67.1,2906339,8240.083254,86.00,47.75,80.38,85.79,69.96,73.39,85.98,74.14,31.69,49.30,88.94,90.79,86.97,21.82,55.75,67.31,73.60,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Jordan,JOR,68.1,81.0,9.5,65.9,10069794,8337.489679,86.80,45.38,76.28,77.99,42.71,54.75,92.17,62.49,41.73,55.87,75.17,85.78,94.75,27.86,90.25,74.52,72.96,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Japan,JPN,78.9,15.0,2.4,77.7,126854745,39002.22332,98.98,68.03,94.89,98.09,58.49,84.46,93.38,88.49,79.90,76.77,75.36,55.57,90.39,53.60,69.96,90.35,64.88,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Kazakhstan,KAZ,68.7,77.0,0.0,70.4,18592970,24078.7187,99.87,50.89,75.77,90.98,77.15,74.81,85.77,76.75,35.21,62.09,78.40,62.44,75.08,43.35,58.57,69.02,51.91,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Kenya,KEN,57.0,125.0,0.0,53.8,52214791,2992.592241,29.80,49.88,50.42,71.00,67.46,43.90,46.07,70.20,19.74,36.29,62.16,93.07,94.79,58.13,59.22,57.21,60.14,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Kyrgyz Republic,KGZ,71.6,48.0,3.8,70.4,6218616,3393.473613,82.79,58.08,70.08,91.07,61.02,67.89,89.26,69.86,26.97,79.30,87.86,91.75,94.19,,68.05,63.24,75.36,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Cambodia,KHM,61.8,112.0,1.2,65.7,16482646,3651.724491,87.51,52.69,62.58,69.86,54.84,60.29,42.94,62.03,19.47,90.85,77.77,97.08,92.75,34.37,44.39,52.40,48.50,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Kiribati,KIR,,,,60.5,120428,1986.072377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,,,,67.1,56345,26028.69169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,78.3,18.0,4.8,77.7,51339238,35938.37422,99.01,77.87,92.35,95.82,63.94,81.49,92.50,86.20,83.72,86.47,80.31,63.53,87.72,54.79,57.19,75.36,53.35,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Kuwait,KWT,63.5,106.0,14.3,65.9,4248974,65530.53658,,60.80,83.84,86.46,51.25,55.02,92.03,56.33,48.89,,48.77,22.17,50.17,42.43,41.03,76.95,100.00,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Lao PDR,LAO,62.0,111.0,5.0,65.7,7064242,6397.359825,54.77,61.05,49.84,78.28,67.32,67.31,44.75,71.72,15.21,74.93,73.43,94.55,96.48,,53.55,58.37,46.57,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Lebanon,LBN,65.7,94.0,7.1,65.9,6065922,13191.14086,99.93,45.92,80.11,70.31,42.47,79.45,88.91,67.40,42.33,69.51,59.94,75.61,77.41,36.59,56.61,65.89,57.93,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Liberia,LBR,48.2,157.0,4.8,53.8,4977720,1168.261952,20.47,48.57,39.20,10.20,41.45,48.01,5.89,64.93,3.54,83.87,28.98,99.29,99.31,75.20,53.98,44.94,51.28,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Libya,LBY,,,,65.9,6569864,17881.50933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,,,,67.1,180454,12712.37206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,,,,70.4,38404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,65.8,93.0,0.0,65.7,21018859,11691.28517,91.17,52.70,79.47,97.23,48.57,65.81,64.66,82.81,17.23,36.43,80.61,77.92,92.29,55.71,63.37,67.32,46.00,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Lesotho,LSO,50.9,150.0,5.0,53.8,2292682,2665.035409,13.71,54.46,28.72,55.01,71.90,58.12,28.50,52.46,14.14,0.35,67.54,92.14,66.16,,62.13,46.18,100.00,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Lithuania,LTU,75.1,32.0,1.2,77.7,2864459,29524.13765,98.44,58.50,84.65,98.68,72.07,85.72,83.47,80.45,45.43,49.57,83.15,67.45,84.13,62.50,90.40,80.52,51.64,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Luxembourg,LUX,74.8,34.0,3.8,77.7,596992,94277.96536,99.85,62.43,96.41,94.39,74.57,90.03,66.67,69.91,69.42,88.26,94.53,23.90,78.75,,62.29,90.15,58.38,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Latvia,LVA,77.1,24.0,1.2,77.7,1911108,25063.71085,98.73,60.36,84.50,95.69,70.20,88.99,91.16,83.26,49.30,76.46,86.34,67.93,87.80,50.94,92.23,76.96,50.44,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Morocco,MAR,69.1,72.0,2.4,65.9,36635156,7485.012951,94.92,53.82,73.67,78.05,42.90,66.13,87.71,67.41,32.37,61.47,72.16,82.46,92.37,48.24,75.61,69.03,75.86,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Monaco,MCO,,,,70.4,39102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,74.4,37.0,5.0,70.4,4029750,5189.97166,99.57,54.50,74.82,82.66,68.65,73.95,89.89,73.99,26.07,92.62,79.65,97.01,97.91,,64.08,62.96,85.91,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Madagascar,MDG,46.7,158.0,3.6,53.8,26969642,1416.439507,0.00,37.44,41.17,44.04,66.92,38.73,7.59,62.80,5.85,31.66,62.45,94.58,96.87,57.84,50.58,51.05,44.30,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Maldives,MDV,72.1,47.0,17.9,65.7,451738,15168.55883,90.40,46.63,91.10,99.19,43.58,72.07,96.85,79.59,39.12,69.30,96.04,76.43,78.86,52.42,38.13,74.84,81.52,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Mexico,MEX,68.5,78.0,0.0,77.7,132328035,17330.73198,87.53,54.66,81.88,92.63,77.37,79.11,86.53,73.03,36.27,14.57,81.16,78.82,90.60,69.54,47.64,53.08,60.25,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Marshall Islands,MHL,,,,60.5,53211,3860.188679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,MKD,69.4,70.0,6.3,70.4,2086720,13132.15032,89.35,61.19,80.00,88.32,54.37,75.18,80.86,64.18,31.03,48.83,72.94,81.22,85.84,,74.00,74.10,77.38,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Mali,MLI,50.2,152.0,3.8,53.8,19689140,2016.218793,24.26,45.04,32.33,12.62,35.57,56.01,14.28,67.37,11.68,73.96,59.06,94.94,99.24,,69.92,50.75,52.12,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Malta,MLT,76.1,28.0,6.0,70.4,433245,36505.40592,99.75,58.25,92.69,97.49,59.06,86.43,92.43,87.43,43.29,94.65,83.08,48.37,91.12,50.22,70.56,76.85,62.15,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Myanmar,MMR,62.2,110.0,2.4,65.7,54336138,5611.583198,80.40,53.27,53.82,73.06,60.64,61.35,49.68,69.76,21.92,70.14,67.74,96.13,95.02,42.82,52.57,66.68,42.03,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Montenegro,MNE,67.3,87.0,8.3,70.4,629355,16464.64231,99.90,51.02,79.88,96.27,54.39,74.43,84.98,67.04,32.95,62.90,68.23,60.60,79.42,28.36,32.22,70.68,100.00,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Mongolia,MNG,64.7,100.0,1.3,65.7,3166244,11766.95432,95.58,44.51,65.74,97.53,67.06,65.42,55.26,76.09,23.31,73.05,48.20,80.84,64.49,,72.29,64.60,59.48,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Mozambique,MOZ,53.0,136.0,0.0,53.8,31408823,1136.393882,11.04,45.09,31.16,41.59,60.03,41.11,37.99,53.36,11.86,49.20,68.21,98.74,92.15,73.97,66.65,52.63,66.79,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Mauritania,MRT,53.3,134.0,7.1,53.8,4661149,3597.632689,80.91,36.37,47.17,29.37,30.84,54.30,40.64,45.60,13.57,86.17,37.24,93.72,73.22,62.46,65.85,44.88,64.31,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Mauritius,MUS,63.6,105.0,6.0,53.8,1271368,20320.3703,98.59,46.03,79.12,89.40,48.93,57.04,89.44,75.10,27.50,39.16,90.80,61.35,67.95,54.11,23.50,69.51,63.47,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Malawi,MWI,51.4,146.0,1.3,53.8,19718743,1095.042089,3.23,53.74,43.64,48.44,62.19,56.49,1.30,62.81,8.74,43.61,63.95,97.52,89.35,,66.94,55.81,61.21,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Malaysia,MYS,69.6,68.0,2.4,65.7,32454455,26824.08498,99.98,45.24,79.04,91.35,55.56,76.31,89.96,80.43,56.82,42.51,82.62,77.13,87.75,49.21,43.00,68.48,57.08,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Namibia,NAM,59.9,119.0,2.4,53.8,2641996,9517.384912,55.14,39.81,49.79,82.17,87.31,59.00,48.50,64.63,23.65,0.00,76.79,79.43,61.12,60.52,85.52,69.61,74.77,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Niger,NER,49.4,154.0,2.5,53.8,23176691,925.9900583,5.59,42.93,39.09,8.42,40.23,40.41,13.47,64.19,3.22,81.76,55.90,91.16,95.13,,73.75,55.87,74.99,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Nigeria,NGA,46.4,159.0,7.1,53.8,200962417,5351.076803,17.15,48.01,28.04,32.13,36.50,53.52,37.07,64.71,18.38,9.06,32.64,94.84,96.14,51.43,76.32,42.95,50.00,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Nicaragua,NIC,67.9,82.0,0.0,67.1,6351157,5321.443516,85.06,45.75,76.79,76.51,82.05,66.81,70.57,72.33,14.66,46.41,77.48,90.25,94.93,59.17,73.78,61.51,60.96,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Netherlands,NLD,80.4,9.0,2.4,77.7,17132908,48472.54454,99.61,65.41,96.43,94.21,81.55,92.65,91.55,83.05,82.34,94.57,91.07,44.05,88.28,41.21,83.20,83.54,53.69,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Norway,NOR,80.7,8.0,2.4,77.7,5400916,64800.05733,99.48,57.03,97.89,99.87,87.72,87.45,98.56,78.48,79.96,100.00,86.10,30.50,54.35,66.17,63.15,84.94,99.57,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Nepal,NPL,63.9,103.0,1.3,65.7,29942018,2456.33018,62.31,55.08,58.67,82.58,57.90,62.92,62.69,72.58,20.24,83.18,45.39,98.24,97.96,,68.77,53.33,58.68,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Nauru,NRU,,,,60.5,11260,12895.63451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,79.5,11.0,3.6,77.7,4792409,36085.84278,99.97,63.08,94.64,98.10,84.71,90.73,95.88,88.15,73.88,,83.04,51.52,91.53,57.01,47.06,92.61,64.91,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Oman,OMN,67.9,83.0,13.1,65.9,5001875,37960.70919,,49.96,83.91,94.81,35.76,37.91,86.70,71.26,44.91,,77.48,69.82,71.06,65.09,51.67,74.92,74.71,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Pakistan,PAK,55.6,130.0,2.4,65.7,204596442,5034.707756,77.86,34.35,50.19,47.49,28.87,46.33,72.37,65.73,14.99,57.96,50.57,92.10,98.73,47.61,66.98,49.13,43.35,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Panama,PAN,66.3,90.0,2.4,67.1,4226197,22287.95908,93.53,49.59,78.88,78.83,65.33,71.81,87.82,77.38,29.33,25.35,88.66,80.20,90.24,55.42,57.21,64.73,32.89,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Peru,PER,71.2,51.0,4.8,67.1,32933835,12236.80134,89.86,61.29,77.96,91.60,68.14,76.93,83.72,75.61,32.89,41.83,73.09,78.77,93.05,78.76,71.31,58.20,57.14,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Philippines,PHL,64.9,97.0,0.0,65.7,108106310,7599.18806,74.37,53.10,58.89,89.39,64.05,67.62,69.92,72.51,33.67,35.29,72.60,94.20,94.36,62.19,55.43,57.87,48.46,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Palau,PLW,,,,60.5,22206,13501.42383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,51.6,143.0,19.0,60.5,8586525,3824.546849,29.25,27.60,46.32,48.28,44.03,27.47,13.44,76.89,4.56,59.44,80.78,97.57,86.49,47.73,62.34,66.27,59.00,59.64,44.58,62.93,70.37,46.24,60.55,38.02,76.92,16.56,68.61,83.24,86.85,76.13,50.64,48.86,74.83,63.88
Poland,POL,75.9,29.0,0.0,77.7,38028278,27343.36384,99.91,61.23,87.56,94.39,71.12,81.95,89.72,84.40,54.91,53.71,78.48,73.68,89.16,43.72,92.00,81.44,53.40,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
"Korea, Dem. Rep.",PRK,,,,65.7,25727408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,76.4,26.0,1.2,77.7,10254666,27936.89609,98.74,56.03,92.14,95.47,80.71,87.03,94.60,82.35,56.13,57.35,84.42,54.83,91.52,51.78,73.38,84.13,58.66,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Paraguay,PRY,67.5,86.0,1.3,67.1,6981981,11915.58638,94.88,66.87,73.87,76.21,66.57,77.49,87.34,77.69,23.77,42.40,77.39,81.80,93.04,,44.71,48.44,61.57,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Qatar,QAT,66.3,91.0,14.3,65.9,2743901,116931.9863,,59.70,87.67,86.44,57.59,54.00,88.24,73.85,56.95,,35.50,58.01,49.92,45.46,59.55,81.27,69.02,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Romania,ROU,72.7,42.0,3.6,70.4,19483360,23501.55226,98.83,58.03,80.63,84.17,64.47,77.98,88.97,80.44,41.34,29.97,81.25,71.93,95.23,53.30,84.25,76.10,69.53,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Russian Federation,RUS,70.9,55.0,4.8,70.4,143895551,24765.95363,99.95,45.56,78.06,97.21,67.19,89.01,91.19,75.48,50.08,54.00,82.33,69.08,82.23,42.49,66.21,50.58,65.36,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Rwanda,RWA,56.0,126.0,1.3,53.8,12794412,1857.411835,17.11,51.69,60.02,60.89,80.47,56.19,11.15,69.77,15.72,27.31,58.58,95.81,98.65,,66.45,70.91,57.13,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Saudi Arabia,SAU,64.8,98.0,13.1,65.9,34140662,48985.55382,,45.64,81.61,97.64,39.14,53.77,89.18,72.56,57.46,,40.57,56.73,59.70,55.71,47.10,68.46,73.42,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Sudan,SDN,51.4,147.0,7.1,53.8,42514094,4466.506755,36.01,19.01,52.03,30.32,37.26,32.99,50.57,52.44,15.03,65.63,41.34,93.35,98.74,66.36,60.47,56.27,65.34,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Senegal,SEN,57.3,124.0,1.2,53.8,16743859,3142.68273,29.30,53.66,54.25,37.10,53.10,57.81,52.82,73.10,15.50,52.52,58.38,95.02,94.75,52.22,74.87,59.75,59.95,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Singapore,SGP,69.6,66.0,13.1,65.7,5868104,85535.3832,98.37,71.77,94.97,99.56,68.52,88.95,94.75,71.85,85.56,,94.72,34.98,50.51,15.19,27.39,88.52,35.58,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
Solomon Islands,SLB,,,,60.5,635254,2205.92322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,49.2,155.0,2.4,53.8,7883123,1391.014662,23.16,46.90,26.73,52.21,44.91,38.90,6.16,62.66,6.15,69.40,46.68,95.71,98.38,60.49,65.63,50.81,42.22,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
El Salvador,SLV,66.7,89.0,0.0,67.1,6445405,7292.457809,91.55,48.65,77.26,75.89,68.44,71.97,88.47,70.17,17.93,38.93,89.00,86.43,90.61,27.80,65.86,56.53,68.96,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
San Marino,SMR,,,,70.4,33683,57761.75798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,,,,53.8,15636171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,72.5,44.0,3.8,70.4,8733407,14048.79395,99.40,63.52,84.16,94.29,57.84,75.71,84.89,71.47,42.41,72.35,71.75,83.74,85.04,,49.51,73.41,82.05,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
South Sudan,SSD,,,,53.8,13263184,1569.888346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,65.5,95.0,17.9,53.8,213379,3052.713743,37.80,64.65,62.03,84.71,45.18,66.61,38.55,66.75,16.80,90.70,84.02,94.92,89.62,79.36,57.39,77.33,56.80,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Suriname,SUR,67.0,88.0,9.5,67.1,573085,13807.86113,56.00,55.75,70.35,70.24,66.48,71.30,86.45,74.54,23.91,,79.32,79.83,79.08,71.17,71.33,70.61,76.11,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Slovak Republic,SVK,76.2,27.0,3.8,77.7,5450987,30155.15212,98.23,68.84,87.96,83.76,68.92,84.40,92.17,80.70,49.74,83.45,82.02,64.99,77.17,,86.86,79.93,55.11,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Slovenia,SVN,79.4,12.0,1.2,77.7,2081900,31400.83951,99.67,64.62,92.69,96.65,75.31,82.35,93.57,84.68,61.03,100.00,85.94,60.77,91.23,33.31,82.52,88.06,57.55,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
