Country,id,Global_Score,Global_Rank,Percentage_missing_values,Regional_Score,Population_in_2019,GDP_per_capita_in_2017,Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10,Goal_11,Goal_12,Goal_13,Goal_14,Goal_15,Goal_16,Goal_17,Regional_Score_Goal_1,Regional_Score_Goal_2,Regional_Score_Goal_3,Regional_Score_Goal_4,Regional_Score_Goal_5,Regional_Score_Goal_6,Regional_Score_Goal_7,Regional_Score_Goal_8,Regional_Score_Goal_9,Regional_Score_Goal_10,Regional_Score_Goal_11,Regional_Score_Goal_12,Regional_Score_Goal_13,Regional_Score_Goal_14,Regional_Score_Goal_15,Regional_Score_Goal_16,Regional_Score_Goal_17
Bahrain,BHR,68.7,76.0,15.5,65.9,1637896,43290.70452,,67.42,90.37,93.46,50.02,54.54,93.66,82.26,43.23,,52.01,72.08,65.69,57.79,54.79,67.09,60.27,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
"Bahamas, The",BHS,,,,67.1,403095,27717.8473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,69.4,69.0,9.5,70.4,3501774,11731.43743,99.72,65.01,80.26,99.38,39.86,72.58,80.28,62.19,24.94,82.20,71.81,89.04,72.28,8.67,61.91,72.57,96.91,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Belarus,BLR,77.4,23.0,5.0,70.4,9433874,17157.57043,99.89,57.23,81.73,96.79,78.04,92.17,90.10,77.42,39.34,85.81,80.95,82.58,92.25,,78.14,69.15,74.24,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Belize,BLZ,62.5,109.0,11.9,67.1,390231,7748.816588,68.54,59.89,71.54,75.62,58.04,72.76,88.28,63.69,23.45,,72.64,76.54,87.27,31.21,43.88,56.78,76.08,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Bolivia,BOL,68.4,80.0,0.0,67.1,11379861,6885.828577,85.32,53.25,66.44,87.30,66.22,67.66,73.41,79.44,23.01,48.59,82.21,87.62,94.38,,73.11,48.39,72.58,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Brazil,BRA,70.6,57.0,0.0,67.1,212392717,14103.45153,86.16,62.10,76.89,84.62,67.46,79.39,94.01,72.56,48.81,25.56,78.27,78.66,91.69,63.22,60.92,55.41,74.73,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Barbados,BRB,,,,67.1,287010,16869.29344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,,,,65.7,439336,71809.25058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,67.6,84.0,8.8,65.7,826229,8536.331027,88.31,50.63,68.78,69.65,45.80,63.60,75.77,71.29,28.19,68.21,82.59,87.66,96.98,,58.66,81.20,65.11,83.19,53.50,68.16,84.74,56.57,67.20,69.81,75.25,32.48,62.27,71.03,85.43,89.61,46.37,54.26,64.50,53.18
